方面名,方面コード,国名,国コード,都市名,都市コード,マップコード
アジア,ASI,韓国,KOR,ソウル,SEL,ASI
アジア,ASI,韓国,KOR,プサン,PUS,ASI
アジア,ASI,中国,CHN,北京,PEK,ASI
アジア,ASI,中国,CHN,上海,SHA,ASI
アジア,ASI,フィリピン,PHL,マニラ,MNL,ASI
アジア,ASI,マレーシア,MYS,クアラルンプール,KUL,ASI
アジアビーチ,ASI,インドネシア,IDN,バリ島,DPS,ASB
アジアビーチ,ASI,フィリピン,PHL,セブ島,CEB,ASB
アジアビーチ,ASI,マレーシア,MYS,コタキナバル,BKI,ASB
アジアビーチ,ASI,マレーシア,MYS,ペナン島,PEN,ASB
アジアビーチ,ASI,マレーシア,MYS,ランカウイ島,LKA,ASB
ハワイ,HGS,ハワイ,HWI,ホノルル,HNL,HWI
ハワイ,HGS,ハワイ,HWI,ハワイ島,KOA,HWI
ハワイ,HGS,ハワイ,HWI,カウアイ島,JIH,HWI
ハワイ,HGS,ハワイ,HWI,ラナイ島,LNY,HWI
グアム・サイパン,HGS,グアム,GUM,グアム,GUM
グアム・サイパン,HGS,サイパン,SPN,サイパン,SPN
ヨーロッパ,EUR,フランス,FRA,パリ,PAR,EUR
ヨーロッパ,EUR,フランス,FRA,マルセイユ,MRS,EUR
ヨーロッパ,EUR,イタリア,ITA,ローマ,ROM,EUR
ヨーロッパ,EUR,イタリア,ITA,フィレンツェ,FLR,EUR
中近東・アフリカ,AFR,モロッコ,MAR,カサブランカ,CAS,AFR
南太平洋・オセアニア,OCE,オーストラリア,AUS,ケアンズ,CNS,OCE
南太平洋・オセアニア,OCE,ニュージーランド,NZL,クライストチャーチ,CHC,OCE
カナダ,CAN,カナダ,CAN,イエローナイフ,YZF,CAN
アメリカ,USA,アメリカ合衆国,USA,ニューヨーク,NYC,USA
中南米・カリブ海,MEX,メキシコ,MEX,メキシコシティ,MWX,MEX
中南米・カリブ海,MEX,メキシコ,MEX,カンクン,CUN,MEX
